Gameweek,Participants,Winner,Prize (N),Winning Points
1,6,A.O.E. FC,6000,74
2,5,Bode United,5000,97
3,5,A.O.E. FC,5000,95
4,6,Rich Boyz FC,6000,62
5,4,FC Storm,4000,62
6,6,FC Storm,6000,84
7,5,Dandi CF,5000,81
8,6,Dandi CF,6000,41
9,6,Dandi CF,6000,75
10,5,Wolfgang FC,5000,45
11,3,Dandi CF,3000,37
12,5,FC Storm,5000,72
13,4,Dandi CF,4000,82
14,6,Obariafomi FC,6000,77
15,6,Wolfgang FC,6000,76
16,7,Ogbonna FC,7000,79
17,10,Wolfgang FC,10000,91
18,5,Rich Boyz FC,5000,78
19,6,Wolfgang FC,6000,84
20,5,Wolfgang FC,5000,83
21,5,FC Storm,5000,95
22,5,Bode United,5000,48
23,5,Dandi CF,5000,85
24,6,Bode United,6000,116
25,5,Wolfgang FC,5000,101
26,7,Bode United,7000,84
27,6,Wolfgang FC,6000,59
28,6,Pontus Fc,6000,70
29,NULL,NULL,NULL,NULL
30,6,Dandi CF,6000,79
31,6,Dandi CF,6000,59
32,5,Rich Boyz FC,5000,86
33,6,Wolfgang FC,6000,71
34,NULL,NULL,NULL,NULL
35,NULL,NULL,NULL,NULL
36,5,Rich Boyz FC,5000,66
37,4,FC Storm,4000,57
38,5,Bode United,5000,53
